nodes,edges,density,avg_clustering,degree_centrality,connected_components,file_name
17,11,0.08088235294117647,0.0,0.08088235294117647,6,CPP_142.dot
19,12,0.07017543859649122,0.0,0.07017543859649124,7,CPP_85.dot
21,13,0.06190476190476191,0.0,0.06190476190476193,8,CPP_55.dot
26,17,0.052307692307692305,0.0,0.052307692307692326,9,CPP_42.dot
12,8,0.12121212121212122,0.0,0.12121212121212117,4,CPP_56.dot
20,13,0.06842105263157895,0.0,0.06842105263157891,7,CPP_134.dot
11,7,0.12727272727272726,0.0,0.12727272727272732,4,CPP_82.dot
16,10,0.08333333333333333,0.0,0.08333333333333333,6,CPP_114.dot
8,4,0.14285714285714285,0.0,0.14285714285714282,4,CPP_73.dot
12,8,0.12121212121212122,0.0,0.12121212121212117,4,CPP_72.dot
18,11,0.0718954248366013,0.0,0.07189542483660132,7,CPP_57.dot
28,20,0.05291005291005291,0.0,0.05291005291005287,8,CPP_91.dot
12,8,0.12121212121212122,0.0,0.12121212121212117,4,CPP_132.dot
19,12,0.07017543859649122,0.0,0.07017543859649124,7,CPP_63.dot
11,7,0.12727272727272726,0.0,0.12727272727272732,4,CPP_157.dot
34,23,0.040998217468805706,0.0,0.040998217468805685,11,CPP_4.dot
17,11,0.08088235294117647,0.0,0.08088235294117647,6,CPP_133.dot
9,6,0.16666666666666666,0.0,0.16666666666666666,3,CPP_47.dot
8,5,0.17857142857142858,0.0,0.17857142857142855,3,CPP_102.dot
14,9,0.0989010989010989,0.0,0.09890109890109888,5,CPP_3.dot
33,23,0.043560606060606064,0.0,0.043560606060606064,10,CPP_18.dot
16,11,0.09166666666666666,0.0,0.09166666666666666,5,CPP_127.dot
14,8,0.08791208791208792,0.0,0.08791208791208789,6,CPP_75.dot
14,8,0.08791208791208792,0.0,0.08791208791208789,6,CPP_59.dot
24,16,0.057971014492753624,0.0,0.05797101449275361,8,CPP_40.dot
16,11,0.09166666666666666,0.0,0.09166666666666666,5,CPP_128.dot
18,12,0.0784313725490196,0.0,0.0784313725490196,6,CPP_0.dot
